timestamp,code,open,high,low,close,volume,amount
2015-01-05,sh.601288,4.6255820800,4.8224153600,4.5763737600,4.7855091200,1440479632,5486170880.0000
2015-01-06,sh.601288,4.6870924800,5.0807590400,4.6501862400,4.8593216000,1509285936,5975994880.0000
2015-01-07,sh.601288,4.7978112000,4.9085299200,4.6993945600,4.7855091200,963318752,3760354656.0000
2015-01-08,sh.601288,4.7978112000,4.8347174400,4.5640716800,4.5886758400,845680800,3190135136.0000
2015-01-09,sh.601288,4.5517696000,4.9454361600,4.4779571200,4.6255820800,1649017792,6249768704.0000
2015-01-12,sh.601288,4.5517696000,4.6255820800,4.4287488000,4.5148633600,825547120,3037866096.0000
2015-01-13,sh.601288,4.4902592000,4.5517696000,4.4533529600,4.5025612800,437598432,1603502128.0000
2015-01-14,sh.601288,4.5148633600,4.6624883200,4.5148633600,4.5886758400,650140992,2427109296.0000
2015-01-15,sh.601288,4.5763737600,4.7609049600,4.5271654400,4.7486028800,800204224,3024979984.0000
2015-01-16,sh.601288,4.7855091200,4.9085299200,4.7486028800,4.8470195200,1003820016,3950040336.0000
2015-01-19,sh.601288,4.5148633600,4.6501862400,4.3672384000,4.3672384000,1024136176,3735646992.0000
2015-01-20,sh.601288,4.3426342400,4.4779571200,4.2811238400,4.3918425600,750624512,2672988848.0000
2015-01-21,sh.601288,4.4164467200,4.6993945600,4.3672384000,4.6378841600,1012054032,3720674896.0000
2015-01-22,sh.601288,4.6255820800,4.6255820800,4.5025612800,4.5886758400,706251408,2627961936.0000
2015-01-23,sh.601288,4.6009779200,4.7239987200,4.5640716800,4.6009779200,896948128,3374609120.0000
2015-01-26,sh.601288,4.5886758400,4.5886758400,4.4902592000,4.5640716800,539173264,1988524400.0000
2015-01-27,sh.601288,4.5640716800,4.5640716800,4.3672384000,4.4533529600,666068064,2413402912.0000
2015-01-28,sh.601288,4.4164467200,4.4902592000,4.3795404800,4.4041446400,376861152,1355516544.0000
2015-01-29,sh.601288,4.3180300800,4.3672384000,4.2688217600,4.3057280000,525151024,1841374144.0000
2015-01-30,sh.601288,4.3303321600,4.3672384000,4.2442176000,4.2565196800,365558800,1278243184.0000
2015-02-02,sh.601288,4.1581030400,4.2073113600,4.0719884800,4.0965926400,415574624,1401030256.0000
2015-02-03,sh.601288,4.1211968000,4.2073113600,4.0965926400,4.1827072000,372506400,1255367600.0000
2015-02-04,sh.601288,4.1950092800,4.2442176000,4.1211968000,4.1334988800,315805984,1074703504.0000
2015-02-05,sh.601288,4.3795404800,4.3918425600,4.0596864000,4.0842905600,1161271872,4001022816.0000
2015-02-06,sh.601288,4.0473843200,4.0719884800,3.9120614400,3.9612697600,569160592,1853260512.0000
2015-02-09,sh.601288,3.9366656000,4.0104780800,3.8751552000,3.9735718400,502297968,1606961728.0000
2015-02-10,sh.601288,3.9612697600,4.0473843200,3.9366656000,4.0227801600,477545776,1553913392.0000
2015-02-11,sh.601288,4.0227801600,4.0350822400,3.9858739200,4.0104780800,267805257,872335552.0000
2015-02-12,sh.601288,4.0104780800,4.0227801600,3.9489676800,3.9981760000,265354154,859453408.0000
2015-02-13,sh.601288,4.0104780800,4.1211968000,3.9981760000,4.0719884800,849197056,2797239952.0000
2015-02-16,sh.601288,4.0596864000,4.0719884800,4.0227801600,4.0473843200,320472800,1053116176.0000
2015-02-17,sh.601288,4.0596864000,4.1088947200,4.0473843200,4.0719884800,369734272,1223977440.0000
2015-02-25,sh.601288,4.0719884800,4.0842905600,4.0227801600,4.0473843200,344364736,1133252320.0000
2015-02-26,sh.601288,4.0350822400,4.1334988800,3.9981760000,4.1211968000,579857824,1922318704.0000
2015-02-27,sh.601288,4.1211968000,4.1458009600,4.0842905600,4.1088947200,433135312,1448644448.0000
2015-03-02,sh.601288,4.1334988800,4.1334988800,4.0842905600,4.1334988800,522923520,1747305536.0000
2015-03-03,sh.601288,4.1088947200,4.1088947200,3.9858739200,3.9858739200,574248512,1886501152.0000
2015-03-04,sh.601288,3.9858739200,4.0104780800,3.9243635200,3.9612697600,474576992,1529228944.0000
2015-03-05,sh.601288,3.9366656000,3.9489676800,3.8136448000,3.8628531200,610891424,1922215584.0000
2015-03-06,sh.601288,3.8505510400,3.8874572800,3.8382489600,3.8751552000,443968208,1396009904.0000
2015-03-09,sh.601288,3.8751552000,4.0965926400,3.8136448000,4.0473843200,1175954352,3775232752.0000
2015-03-10,sh.601288,3.9981760000,3.9981760000,3.9243635200,3.9366656000,722650176,2324410336.0000
2015-03-11,sh.601288,3.9366656000,4.0227801600,3.9243635200,3.9612697600,666394048,2152089568.0000
2015-03-12,sh.601288,4.0104780800,4.1334988800,3.9858739200,4.0842905600,1237632480,4087800368.0000
2015-03-13,sh.601288,4.0965926400,4.1704051200,4.0473843200,4.0842905600,923046448,3081767520.0000
2015-03-16,sh.601288,4.1088947200,4.1458009600,4.0719884800,4.1334988800,826117200,2759869552.0000
2015-03-17,sh.601288,4.1581030400,4.1950092800,4.1334988800,4.1827072000,1002348160,3391451920.0000
2015-03-18,sh.601288,4.1950092800,4.3426342400,4.1827072000,4.3303321600,1339413104,4641740544.0000
2015-03-19,sh.601288,4.3426342400,4.3549363200,4.2565196800,4.2811238400,1053768656,3677978672.0000
2015-03-20,sh.601288,4.2811238400,4.4164467200,4.2811238400,4.3795404800,1265646048,4464006912.0000
2015-03-23,sh.601288,4.4287488000,4.4656550400,4.3918425600,4.4533529600,1186262384,4271454656.0000
2015-03-24,sh.601288,4.4533529600,4.7239987200,4.4041446400,4.5886758400,2121240480,7820087296.0000
2015-03-25,sh.601288,4.5640716800,4.6624883200,4.4533529600,4.4779571200,1769962032,6535026176.0000
2015-03-26,sh.601288,4.4287488000,4.5394675200,4.3672384000,4.4902592000,1264754416,4588904704.0000
2015-03-27,sh.601288,4.4902592000,4.5148633600,4.4287488000,4.4779571200,1007100480,3658351104.0000
2015-03-30,sh.601288,4.5025612800,4.6132800000,4.4656550400,4.6009779200,1612000800,5965906176.0000
2015-03-31,sh.601288,4.6501862400,4.6870924800,4.4902592000,4.5148633600,1550134304,5785938432.0000
2015-04-01,sh.601288,4.4902592000,4.5640716800,4.4779571200,4.5394675200,1022280688,3761058928.0000
2015-04-02,sh.601288,4.5517696000,4.5640716800,4.4533529600,4.4902592000,1034508352,3783034480.0000
2015-04-03,sh.601288,4.4533529600,4.5025612800,4.4410508800,4.5025612800,936586256,3407118704.0000
2015-04-07,sh.601288,4.5517696000,4.6378841600,4.5394675200,4.6378841600,1718875632,6411086080.0000
2015-04-08,sh.601288,4.6378841600,4.6870924800,4.5640716800,4.6870924800,1622981184,6114279680.0000
2015-04-09,sh.601288,4.6870924800,4.7732070400,4.6255820800,4.6378841600,1611898448,6122229760.0000
2015-04-10,sh.601288,4.6255820800,4.6993945600,4.6009779200,4.6870924800,1339776016,5066602240.0000
2015-04-13,sh.601288,4.7732070400,4.8716236800,4.7116966400,4.8224153600,2474038256,9601556992.0000
2015-04-14,sh.601288,4.7978112000,4.7978112000,4.7239987200,4.7609049600,1530056064,5920129024.0000
